organization,account,operation,asset,anch_val,non_anch_val
Moon Enterprises,ME Venture Fund,Delegation,SUI,127.34,0.00
Electric Sheep,ES Venture Fund,Staking,SUI,0.00,195.28
Electric Sheep,ES Venture Fund,Staking,EVMOS,187.55,0.00
Firetronics,FT Capital Fund,Delegation,OSMO,0.00,111.88
Firetronics,FT Capital Fund,Staking,OSMO,197.14,0.00
Firetronics,FT Capital Fund,Delegation,ATOM,0.00,189.33
Moon Enterprises,ME Venture Fund,Staking,AXL,165.00,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,130.47
Firetronics,FT Capital Fund,Staking,EVMOS,130.60,0.00
Firetronics,FT Capital Fund,Staking,CELO,0.00,192.21
Electric Sheep,ES Capital Fund,Staking,ROSE,164.85,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,196.19
Electric Sheep,ES Capital Fund,Staking,OSMO,119.96,0.00
Firetronics,FT Venture Fund,Staking,AXL,0.00,106.46
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,179.87,0.00
Electric Sheep,ES Capital Fund,Delegation,FLOW,0.00,112.67
Moon Enterprises,ME Venture Fund,Delegation,SEI,108.17,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,144.86
Firetronics,FT Capital Fund,Staking,ETH,161.54,0.00
Firetronics,FT Venture Fund,Staking,SOL,0.00,181.49
Electric Sheep,ES Venture Fund,Staking,FLOW,117.96,0.00
Moon Enterprises,ME Venture Fund,Delegation,SEI,0.00,116.68
Electric Sheep,ES Capital Fund,Staking,CELO,190.56,0.00
Moon Enterprises,ME Venture Fund,Staking,ATOM,0.00,173.07
Electric Sheep,ES Venture Fund,Staking,HASH,191.70,0.00
Moon Enterprises,ME Venture Fund,Staking,SOL,0.00,127.73
Firetronics,FT Venture Fund,Staking,ATOM,106.14,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,112.24
Moon Enterprises,ME Capital Fund,Staking,FLOW,101.63,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,154.00
Firetronics,FT Venture Fund,Delegation,AXL,198.65,0.00
Firetronics,FT Venture Fund,Delegation,CELO,0.00,146.38
Firetronics,FT Venture Fund,Staking,FLOW,156.82,0.00
Moon Enterprises,ME Venture Fund,Delegation,CELO,0.00,144.69
Electric Sheep,ES Capital Fund,Delegation,CELO,191.26,0.00
Electric Sheep,ES Capital Fund,Delegation,APT,0.00,194.24
Moon Enterprises,ME Capital Fund,Delegation,ETH,157.56,0.00
Moon Enterprises,ME Venture Fund,Delegation,APT,0.00,185.29
Moon Enterprises,ME Venture Fund,Delegation,SUI,130.13,0.00
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,0.00,146.81
Electric Sheep,ES Capital Fund,Delegation,OSMO,184.58,0.00
Firetronics,FT Venture Fund,Delegation,APT,0.00,106.21
Electric Sheep,ES Venture Fund,Delegation,AXL,106.30,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,139.79
Moon Enterprises,ME Capital Fund,Staking,SUI,179.20,0.00
Moon Enterprises,ME Capital Fund,Delegation,ATOM,0.00,186.68
Firetronics,FT Capital Fund,Staking,FLOW,159.39,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,108.17
Moon Enterprises,ME Venture Fund,Staking,EVMOS,118.91,0.00
Firetronics,FT Venture Fund,Delegation,ROSE,0.00,150.75
Electric Sheep,ES Venture Fund,Staking,ATOM,131.78,0.00
Electric Sheep,ES Capital Fund,Delegation,HASH,0.00,177.85
Moon Enterprises,ME Venture Fund,Staking,FLOW,114.88,0.00
Electric Sheep,ES Venture Fund,Staking,ATOM,0.00,142.51
Moon Enterprises,ME Venture Fund,Delegation,SOL,153.57,0.00
Moon Enterprises,ME Venture Fund,Staking,ATOM,0.00,187.14
Electric Sheep,ES Venture Fund,Delegation,SOL,149.38,0.00
Electric Sheep,ES Venture Fund,Delegation,FLOW,0.00,124.59
Moon Enterprises,ME Venture Fund,Delegation,SOL,156.97,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,128.32
Electric Sheep,ES Capital Fund,Staking,SOL,139.81,0.00
Moon Enterprises,ME Capital Fund,Delegation,HASH,0.00,142.39
Moon Enterprises,ME Capital Fund,Delegation,SUI,187.57,0.00
Moon Enterprises,ME Capital Fund,Delegation,ROSE,0.00,171.06
Electric Sheep,ES Venture Fund,Delegation,AXL,190.65,0.00
Electric Sheep,ES Venture Fund,Staking,SEI,0.00,101.39
Firetronics,FT Capital Fund,Staking,EVMOS,109.29,0.00
Firetronics,FT Capital Fund,Staking,AXL,0.00,194.22
Electric Sheep,ES Venture Fund,Staking,FLOW,143.23,0.00
Electric Sheep,ES Venture Fund,Delegation,EVMOS,0.00,122.67
Moon Enterprises,ME Capital Fund,Staking,ETH,109.87,0.00
Electric Sheep,ES Capital Fund,Staking,AXL,0.00,140.01
Moon Enterprises,ME Venture Fund,Staking,HASH,124.59,0.00
Moon Enterprises,ME Capital Fund,Delegation,AXL,0.00,131.09
Electric Sheep,ES Capital Fund,Staking,ATOM,140.56,0.00
Moon Enterprises,ME Venture Fund,Staking,FLOW,0.00,128.40
Electric Sheep,ES Venture Fund,Delegation,HASH,191.89,0.00
Moon Enterprises,ME Capital Fund,Staking,ROSE,0.00,195.84
Moon Enterprises,ME Venture Fund,Staking,OSMO,114.74,0.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,0.00,197.58
Moon Enterprises,ME Venture Fund,Staking,SUI,123.70,0.00
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,135.20
Firetronics,FT Venture Fund,Staking,ROSE,129.42,0.00
Moon Enterprises,ME Venture Fund,Staking,SUI,0.00,186.12
Moon Enterprises,ME Venture Fund,Staking,CELO,117.20,0.00
Electric Sheep,ES Venture Fund,Staking,FLOW,0.00,109.27
Electric Sheep,ES Venture Fund,Delegation,ROSE,162.19,0.00
Electric Sheep,ES Capital Fund,Staking,OSMO,0.00,132.80
Electric Sheep,ES Capital Fund,Delegation,FLOW,133.39,0.00
Electric Sheep,ES Venture Fund,Delegation,SUI,0.00,147.10
Moon Enterprises,ME Capital Fund,Staking,ETH,198.44,0.00
Firetronics,FT Venture Fund,Staking,APT,0.00,187.21
Moon Enterprises,ME Capital Fund,Delegation,AXL,196.32,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,199.99
Electric Sheep,ES Venture Fund,Delegation,APT,100.95,0.00
Electric Sheep,ES Venture Fund,Staking,SOL,0.00,190.93
Moon Enterprises,ME Venture Fund,Staking,HASH,186.88,0.00
Electric Sheep,ES Venture Fund,Staking,CELO,0.00,115.23
Electric Sheep,ES Capital Fund,Staking,ROSE,132.52,0.00
Moon Enterprises,ME Venture Fund,Staking,AXL,0.00,121.76
Electric Sheep,ES Venture Fund,Staking,SUI,160.85,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,150.37
Moon Enterprises,ME Venture Fund,Delegation,ETH,181.85,0.00
Moon Enterprises,ME Capital Fund,Delegation,APT,0.00,190.95
Firetronics,FT Capital Fund,Delegation,APT,173.55,0.00
Moon Enterprises,ME Venture Fund,Delegation,OSMO,0.00,143.94
Firetronics,FT Capital Fund,Staking,HASH,102.65,0.00
Moon Enterprises,ME Venture Fund,Delegation,SOL,0.00,195.88
Electric Sheep,ES Venture Fund,Delegation,ROSE,118.72,0.00
Firetronics,FT Venture Fund,Staking,ETH,0.00,157.79
Moon Enterprises,ME Capital Fund,Staking,SUI,184.06,0.00
Electric Sheep,ES Venture Fund,Delegation,ATOM,0.00,169.28
Electric Sheep,ES Venture Fund,Staking,CELO,122.74,0.00
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,124.23
Firetronics,FT Capital Fund,Delegation,CELO,100.91,0.00
Moon Enterprises,ME Capital Fund,Delegation,ROSE,0.00,114.14
Moon Enterprises,ME Capital Fund,Delegation,SEI,140.24,0.00
Firetronics,FT Venture Fund,Staking,OSMO,0.00,164.42
Electric Sheep,ES Venture Fund,Staking,ETH,189.25,0.00
Electric Sheep,ES Capital Fund,Staking,APT,0.00,143.61
Electric Sheep,ES Venture Fund,Delegation,SUI,133.46,0.00
Firetronics,FT Capital Fund,Staking,ETH,0.00,152.84
Electric Sheep,ES Venture Fund,Staking,SUI,117.48,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,190.96
Firetronics,FT Capital Fund,Delegation,OSMO,103.57,0.00
Firetronics,FT Capital Fund,Staking,EVMOS,0.00,119.62
Moon Enterprises,ME Capital Fund,Delegation,ETH,149.64,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,150.61
Moon Enterprises,ME Capital Fund,Staking,AXL,145.13,0.00
Moon Enterprises,ME Venture Fund,Staking,APT,0.00,152.55
Electric Sheep,ES Capital Fund,Delegation,ROSE,106.20,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,126.95
Firetronics,FT Venture Fund,Staking,SEI,141.30,0.00
Moon Enterprises,ME Capital Fund,Delegation,SUI,0.00,159.75
Firetronics,FT Capital Fund,Delegation,ROSE,157.98,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,164.48
Firetronics,FT Capital Fund,Staking,CELO,190.92,0.00
Moon Enterprises,ME Capital Fund,Staking,CELO,0.00,108.07
Firetronics,FT Capital Fund,Delegation,SEI,164.06,0.00
Firetronics,FT Venture Fund,Delegation,HASH,0.00,106.71
Moon Enterprises,ME Venture Fund,Delegation,OSMO,154.51,0.00
Electric Sheep,ES Venture Fund,Staking,CELO,0.00,196.04
Moon Enterprises,ME Capital Fund,Staking,SOL,180.47,0.00
Electric Sheep,ES Venture Fund,Staking,SEI,0.00,109.05
Firetronics,FT Venture Fund,Staking,ATOM,183.12,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,110.62
Firetronics,FT Capital Fund,Delegation,SOL,143.33,0.00
Firetronics,FT Venture Fund,Staking,FLOW,0.00,176.39
Firetronics,FT Venture Fund,Delegation,ROSE,172.42,0.00
Electric Sheep,ES Venture Fund,Staking,EVMOS,0.00,165.06
Electric Sheep,ES Capital Fund,Delegation,ATOM,111.62,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,142.84
Moon Enterprises,ME Venture Fund,Delegation,CELO,171.46,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,120.70
Moon Enterprises,ME Capital Fund,Delegation,SEI,129.08,0.00
Electric Sheep,ES Capital Fund,Delegation,APT,0.00,150.13
Electric Sheep,ES Venture Fund,Delegation,FLOW,168.63,0.00
Firetronics,FT Capital Fund,Delegation,AXL,0.00,182.14
Moon Enterprises,ME Venture Fund,Delegation,APT,141.26,0.00
Moon Enterprises,ME Capital Fund,Delegation,AXL,0.00,105.37
Firetronics,FT Capital Fund,Staking,OSMO,112.31,0.00
Electric Sheep,ES Capital Fund,Delegation,AXL,0.00,131.63
Electric Sheep,ES Venture Fund,Staking,EVMOS,192.75,0.00
Electric Sheep,ES Venture Fund,Delegation,AXL,0.00,168.59
Firetronics,FT Capital Fund,Delegation,OSMO,163.60,0.00
Electric Sheep,ES Venture Fund,Staking,SEI,0.00,136.27
Electric Sheep,ES Venture Fund,Staking,SOL,173.70,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,180.15
Moon Enterprises,ME Venture Fund,Delegation,ETH,122.12,0.00
Firetronics,FT Venture Fund,Delegation,CELO,0.00,128.17
